Name,Gender,Nationality,Age,Stroke,Speciality,US College / University,DI Conference,Birthday,Previous US College / University,Previous DI Conference,Continent 1,Continent 2,ISL Team,Former ISL Teams,Image,World Aquatics Site,,,,NCAA College,Conference,,USA,North America,
Evgeniia Chikunova,Female,RUS,20,Breast,Stroke,N/A,N/A,11/17/2004,,,Asia,Europe,ENS,,,,,,,,,,,,
Evgeny Rylov,Male,RUS,28,"Back, Free",Stroke,N/A,N/A,9/23/1996,,,Asia,Europe,ENS,,,https://www.worldaquatics.com/athletes/1003730/evgeny-rylov,,,,,,,,,
Fabian Schwingenschlogl,Male,GER,33,Breast,Stroke,University of Missouri,SEC,8/15/1991,,,Europe,,TOR,,,https://www.worldaquatics.com/athletes/1012228/fabian-schwingenschlogl,,,,,,,,,
Fabio Scozzoli,Male,ITA,36,Breast,Stroke,N/A,N/A,8/3/1988,,,Europe,,AQC,,,https://www.worldaquatics.com/athletes/1000058/fabio-scozzoli,,,,,,,,,
Farida Osman,Female,EGY,30,"Fly, Free",Sprint,"University of California, Berkeley",ACC,1/18/1995,,,Asia,Africa,DCT,LON,,https://www.worldaquatics.com/athletes/1020000/farida-osman,,,,,,,,,
Federica Pelligrini,Female,ITA,36,Free,Mid-D,N/A,N/A,8/5/1988,,,Europe,,AQC,,,https://www.worldaquatics.com/athletes/1000901/federica-pellegrini,,,,,,,,,
Felipe Lima,Male,BRA,40,Breast,Sprint,N/A,N/A,4/5/1985,,,South America,,ENS,LAC,,https://www.worldaquatics.com/athletes/1005939/felipe-lima,,,,,,,,,
Felipe Silva,Male,BRA,38,Breast,Sprint,N/A,N/A,5/14/1987,,,South America,,DCT,LAC,,https://www.worldaquatics.com/athletes/1000642/felipe-franca-silva,,,,,,,,,
Felix Auboeck,Male,AUT,28,Free,Distance,University of Michigan,B1G,12/19/1996,,,Europe,,NYB,,,https://www.worldaquatics.com/athletes/1000691/felix-auboeck,,,,,,,,,
Femke Heemskerk,Female,NED,37,Free,Sprint,N/A,N/A,9/21/1987,,,Europe,,N/A,ENS,,https://www.worldaquatics.com/athletes/1025897/femke-heemskerk,,,,,,,,,
Fernando Scheffer,Male,BRA,27,Free,Mid-D,N/A,N/A,4/6/1998,,,South America,,LAC,,,https://www.worldaquatics.com/athletes/1051335/fernando-scheffer,,,,,,,,,
Finlay Knox,Male,CAN,24,"IM, Back",Stroke,N/A,N/A,1/8/2001,,,North America,,TOR,,,https://www.worldaquatics.com/athletes/1159162/finlay-knox,,,,,,,,,
Florent Manaudou,Male,FRA,34,Free,Sprint,N/A,N/A,11/12/1990,,,Europe,,ENS,,,https://www.worldaquatics.com/athletes/1031569/florent-manaudou,,,,,,,,,
Florian Wellbrock,Male,GER,27,Free,Distance,N/A,N/A,8/19/1997,,,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1021468/florian-wellbrock,,,,,,,,,
Freya Anderson,Female,GBR,24,Free,Mid-D,N/A,N/A,3/4/2001,,,Europe,,LON,AQC,,https://www.worldaquatics.com/athletes/1056307/freya-anderson,,,,,,,,,
Freya Colbert,,,21,"IM, Free",Mid-D,N/A,N/A,3/8/2004,,,,,N/A,,,https://www.worldaquatics.com/athletes/1187766/freya-constance-colbert,,,,,,,,,
Gabby DeLoof,Female,USA,29,"Back, Free",Sprint,University of Michigan,B1G,3/13/1996,,,North America,,TOK,NYB,,https://www.worldaquatics.com/athletes/1104080/gabby-de-loof,,,,,,,,,
Gabi Albiero,Female,USA,23,"Fly, Free",Sprint,University of Louisville,ACC,1/16/2002,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1190755/gabi-albiero,,,,,,,,,
Gabriel Fantoni,Male,BRA,23,"Fly, Back",Stroke,Indiana University,B1G,1/1/2002,,,South America,,N/A,,,https://www.worldaquatics.com/athletes/1095253/gabriel-fantoni,,,,,,,,,
Gabriel Jett,Male,USA,22,"Fly, Free",Stroke,"University of California, Berkeley",ACC,10/14/2002,,,North America,,N/A,,,,,,,,,,,,
Gabriele Detti,Male,ITA,30,Free,Distance,N/A,N/A,8/29/1994,,,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1000442/gabriele-detti,,,,,,,,,
Giles Smith,Male,USA,33,"Fly, Free",Sprint,University of Arizona,BIG 12,11/28/1991,,,North America,,N/A,DCT,,https://www.worldaquatics.com/athletes/1002598/giles-smith,,,,,,,,,
Grant House,Male,USA,26,Free,Sprint,Arizona State University,BIG 12,6/19/1998,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1020451/grant-house,,,,,,,,,
Grant Shoults,Male,USA,27,Free,Distance,Stanford University,ACC,6/6/1997,,,North America,,N/A,,,,,,,,,,,,
Gregorio Paltrinieri,Male,ITA,30,Free,Distance,N/A,N/A,9/5/1994,,,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1000746/gregorio-paltrinieri,,,,,,,,,
Gretchen Walsh,Female,USA,22,"Fly, Free",Sprint,University of Virginia,ACC,1/29/2003,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1137575/gretchen-walsh,,,,,,,,,
Grigory Tarasevich,Male,RUS,29,Back,Stroke,University of Louisville,ACC,8/1/1995,,,Asia,Europe,TOK,NYB,,https://www.worldaquatics.com/athletes/1020091/grigory-tarasevich,,,,,,,,,
Guilherme Costa,Male,BRA,26,Free,Distance,N/A,N/A,10/1/1998,,,South America,,N/A,,,https://www.worldaquatics.com/athletes/1020875/guilherme-costa,,,,,,,,,
Guilherme Guido,Male,BRA,38,Back,Sprint,N/A,N/A,2/12/1987,,,South America,,LON,,,https://www.worldaquatics.com/athletes/1012574/guilherme-guido,,,,,,,,,
Guilherme Santos,Male,BRA,21,"Fly, Free",Sprint,University of Tennessee,SEC,1/1/2004,,,South America,,N/A,,,https://www.worldaquatics.com/athletes/1282241/guilherme-santos,,,,,,,,,
Gunnar Bentz,Male,USA,29,"IM, Fly",Mid-D,University of Georgia,SEC,1/3/1996,,,North America,,N/A,"CAC, IRO",,https://www.worldaquatics.com/athletes/1002074/gunnar-bentz,,,,,,,,,
Haiyang Qin,Male,CHN,26,Breast,Stroke,N/A,N/A,5/17/1999,,,Asia,,N/A,,,https://www.worldaquatics.com/athletes/1056542/haiyang-qin,,,,,,,,,
Haley Anderson,Female,USA,33,Free,Distance,University of Southern California,B1G,11/20/1991,,,North America,,N/A,CAC,,https://www.worldaquatics.com/athletes/1002377/haley-anderson,,,,,,,,,
Hali Flickinger,Female,USA,30,"IM, Fly",Mid-D,University of Georgia,SEC,7/7/1994,,,North America,,CAC,,,https://www.worldaquatics.com/athletes/1002686/hali-flickinger,,,,,,,,,
Henrik Christiansen,Male,NOR,28,Free,Distance,N/A,N/A,10/9/1996,,,Europe,,N/A,IRO,,https://www.worldaquatics.com/athletes/1000122/henrik-christiansen,,,,,,,,,
Hubert Kos,Male,HUN,22,"IM, Back",Stroke,University of Texas,SEC,3/28/2003,Arizona State University,BIG 12,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1166150/hubert-kos,,,,,,,,,
Hugo Gonzalez,Male,SPN,26,"IM, Back",Mid-D,"University of California, Berkeley",ACC,2/19/1999,Auburn University,SEC,Europe,Africa,N/A,,,https://www.worldaquatics.com/athletes/1020536/hugo-gonzalez,,,,,,,,,
Hunter Armstrong,Male,USA,24,"Back, Free",Sprint,Ohio State University,B1G,1/24/2001,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1231918/hunter-armstrong,,,,,,,,,
Ian Finnerty,Male,USA,28,Breast,Stroke,Indiana University,B1G,8/2/1996,,,North America,,N/A,DCT,,,,,,,,,,,
Ilia Borodin,Male,RUS,22,IM,Mid-D,N/A,N/A,2/14/2003,,,Asia,Europe,AQC,,,,,,,,,,,,
Ilya Kharun,Male,CAN,20,Fly,Stroke,Arizona State University,BIG 12,2/7/2005,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1633425/ilya-kharun,,,,,,,,,
Ilya Shymanovich,Male,BLR,30,Breast,Stroke,N/A,N/A,8/2/1994,,,Europe,,ENS,,,https://www.worldaquatics.com/athletes/1020123/ilya-shymanovich,,,,,,,,,
Ingrid Wilm,Female,CAN,26,Back,Stroke,N/A,N/A,6/8/1998,,,North America,,LAC,,,https://www.worldaquatics.com/athletes/1107733/ingrid-wilm,,,,,,,,,
Iona Anderson,Female,AUS,19,Back,Stroke,N/A,N/A,10/3/2005,,,Austrailia,,N/A,,,https://www.worldaquatics.com/athletes/1248893/iona-anderson,,,,,,,,,
Isaac Cooper,Male,AUS,21,"Back, Free",Sprint,N/A,N/A,1/7/2004,,,Austrailia,,N/A,,,https://www.worldaquatics.com/athletes/1372307/isaac-cooper,,,,,,,,,
Isabel Gose,Female,GER,23,Free,Distance,N/A,N/A,5/9/2002,,,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1051353/isabel-gose,,,,,,,,,
Isabel Ivey,Female,USA,24,"IM, Free",Stroke,University of Florida,SEC,11/22/2000,"University of California, Berkeley",ACC,North America,,N/A,,,https://www.worldaquatics.com/athletes/1055941/isabel-ivey,,,,,,,,,
Isabelle Stadden,Female,USA,22,Back,Stroke,"University of California, Berkeley",ACC,7/9/2002,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1136687/isabelle-stadden,,,,,,,,,
Jack Aikins,Male,USA,22,Back,Stroke,University of Virginia,ACC,10/11/2002,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1279760/jack-aikins,,,,,,,,,
Jack Alexy,Male,USA,22,Free,Sprint,"University of California, Berkeley",ACC,1/19/2003,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1190943/jack-alexy,,,,,,,,,
Jack Cartwright,Male,AUS,26,Free,Stroke,N/A,N/A,9/22/1998,,,Austrailia,,N/A,,,https://www.worldaquatics.com/athletes/1020469/jack-cartwright,,,,,,,,,
Jack Conger,Male,USA,30,Fly,Stroke,University of Texas,SEC,9/26/1994,,,North America,,N/A,LAC,,https://www.worldaquatics.com/athletes/1036396/jack-conger,,,,,,,,,
Jack Dahlgren,Male,USA,25,"Back, Free",Stroke,University of Missouri,SEC,1/1/2000,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1137727/jack-dahlgren,,,,,,,,,
Jack McLoughlin,Male,AUS,30,Free,Distance,N/A,N/A,2/1/1995,,,Austrailia,,N/A,NYB,,https://www.worldaquatics.com/athletes/1043488/jack-alan-mcloughlin,,,,,,,,,
Jacob Pebley,Male,USA,31,Back,Stroke,"University of California, Berkeley",ACC,9/17/1993,,,North America,,DCT,NYB,,https://www.worldaquatics.com/athletes/1001581/jacob-pebley,,,,,,,,,
Jake Foster,Male,USA,24,"IM, Breast",Mid-D,University of Texas,SEC,9/6/2000,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1137724/jake-foster,,,,,,,,,
Jake Magahey,Male,USA,23,Free,Distance,University of Georgia,SEC,9/14/2001,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1137222/jake-magahey,,,,,,,,,
Jake Mitchell,Male,USA,23,Free,Distance,University of Florida,SEC,12/22/2001,University of Michigan,B1G,North America,,N/A,,,https://www.worldaquatics.com/athletes/1190003/jake-mitchell,,,,,,,,,
James Guy,Male,GBR,29,"Fly, Free",Mid-D,N/A,N/A,11/26/1995,,,Europe,,ENS,LON,,https://www.worldaquatics.com/athletes/1000428/james-guy,,,,,,,,,
James Wilby,Male,GBR,31,Breast,Stroke,N/A,N/A,11/12/1993,,,Europe,,NYB,,,https://www.worldaquatics.com/athletes/1056308/james-wilby,,,,,,,,,
Jarod Arroyo,Male,PUR,24,"IM, Back",Mid-D,Arizona State University,BIG 12,1/2/2001,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1051378/jarod-arroyo,,,,,,,,,
Jasmine Nocentini,Female,ITA,23,"Breast, Free",Sprint,University of Virginia,ACC,1/1/2002,Northwestern University,B1G,Europe,,N/A,,,,,,,,,,,,
Javier Acevedo,Male,CAN,27,"IM, Back",Stroke,University of Georgia,SEC,1/28/1998,,,North America,,LAC,,,https://www.worldaquatics.com/athletes/1028292/javier-acevedo,,,,,,,,,
Jay Litherland,Male,USA,29,"IM, Free",Mid-D,University of Georgia,SEC,8/24/1995,,,North America,,DCT,,,https://www.worldaquatics.com/athletes/1005063/jay-litherland,,,,,,,,,
Jeremy Desplanches,Male,SUI,30,IM,Stroke,N/A,N/A,8/7/1994,,,Europe,,N/A,"ENS, IRO",,https://www.worldaquatics.com/athletes/1000177/jeremy-desplanches,,,,,,,,,
Jesse Puts,Male,NED,30,"Fly, Free",Sprint,N/A,N/A,8/1/1994,,,Europe,,CAC,,,https://www.worldaquatics.com/athletes/1036015/jesse-puts,,,,,,,,,
Jillian Cox,Female,USA,19,Free,Distance,University of Texas,SEC,7/18/2005,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1297174/jillian-cox,,,,,,,,,
Joe Litchfield,Male,GBR,26,IM,Stroke,N/A,N/A,7/8/1998,,,Europe,,NYB,,,https://www.worldaquatics.com/athletes/1088686/joe-richard-litchfield,,,,,,,,,
John Shebat,Male,USA,28,"IM, Back",Stroke,University of Texas,SEC,2/17/1997,,,North America,,N/A,CAC,,,,,,,,,,,
Jonny Kulow,Male,USA,21,Free,Sprint,Arizona State University,BIG 12,1/1/2004,,,North America,,N/A,,,,,,,,,,,,
Jonny Marshall,Male,USA,20,Back,Stroke,University of Florida,SEC,1/1/2005,,,North America,,N/A,,,,,,,,,,,,
Jordan Crooks,Male,CYM,23,"Fly, Free",Sprint,University of Tennessee,SEC,5/2/2002,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1159226/jordan-crooks,,,,,,,,,
Jordan Wilimovsky,Male,USA,31,Free,Distance,Northwestern University,B1G,4/22/1994,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1021500/jordan-wilimovsky,,,,,,,,,
Joseph Schooling,Male,SIN,29,Fly,Stroke,University of Texas,SEC,6/16/1995,,,Asia,,N/A,,,https://www.worldaquatics.com/athletes/1010827/joseph-schooling,,,,,,,,,
Josh Liendo,Male,CAN,22,"Fly, Free",Sprint,University of Florida,SEC,8/20/2002,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1159165/josh-liendo,,,,,,,,,
Josh Matheny,Male,USA,22,Breast,Stroke,Indiana University,B1G,10/16/2002,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1190737/josh-matheny,,,,,,,,,
Josh Prenot,Male,USA,31,"IM, Breast",Stroke,"University of California, Berkeley",ACC,7/28/1993,,,North America,,LAC,,,https://www.worldaquatics.com/athletes/1002073/josh-prenot,,,,,,,,,
Justin Ress,Male,USA,27,"Back, Free",Sprint,North Carolina State University,ACC,8/3/1997,,,North America,,CAC,,,https://www.worldaquatics.com/athletes/1056481/justin-ress,,,,,,,,,
Kacper Stokowski,Male,POL,26,Back,Stroke,North Carolina State University,ACC,1/6/1999,University of Florida,SEC,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1036334/kacper-stokowski,,,,,,,,,
Kaii Winkler,Male,USA,19,"Fly, Free",Sprint,North Carolina State University,ACC,3/27/2006,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1267534/kaii-winkler,,,,,,,,,
Kaitlyn Dobler,Female,USA,23,Breast,Stroke,University of Southern California,B1G,2/15/2002,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1190752/kaitlyn-dobler,,,,,,,,,
Katarzyna Wasick,Female,POL,33,Free,Sprint,University of Southern California,B1G,3/22/1992,,,Europe,,TOR,NYB,,https://www.worldaquatics.com/athletes/1020107/katarzyna-wasick,,,,,,,,,
Kate Douglass,Female,USA,23,"IM, Breast",Stroke,University of Virginia,ACC,11/17/2001,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1057344/kate-douglass,,,,,,,,,
Katerine Savard,Female,CAN,31,Fly,Stroke,N/A,N/A,5/26/1993,,,North America,,CAC,,,https://www.worldaquatics.com/athletes/1000941/katerine-savard,,,,,,,,,
Katharine Berkoff,Female,USA,24,"Back, Free",Sprint,North Carolina State University,ACC,1/28/2001,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1137368/katharine-berkoff,,,,,,,,,
Kathleen Baker,Female,USA,28,Back,Stroke,"University of California, Berkeley",ACC,2/28/1997,,,North America,,LAC,,,https://www.worldaquatics.com/athletes/1000173/kathleen-baker,,,,,,,,,
Kathleen Dawson,Female,GBR,27,Back,Stroke,N/A,N/A,10/3/1997,,,Europe,,AQC,LON,,https://www.worldaquatics.com/athletes/1051347/kathleen-dawson,,,,,,,,,
Katie Drabot,Female,USA,27,Fly,Stroke,Stanford University,ACC,9/2/1997,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1003852/katie-drabot,,,,,,,,,
Katie Grimes,Female,USA,19,"IM, Free",Distance,University of Virginia,ACC,1/8/2006,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1415844/katie-grimes,,,,,,,,,
Katie Ledecky,Female,USA,28,Free,Distance,Stanford University,ACC,3/17/1997,,,North America,,N/A,DCT,,https://www.worldaquatics.com/athletes/1002483/katie-ledecky,,,,,,,,,
Katie McLaughlin,Female,USA,27,"Fly, Free",Stroke,"University of California, Berkeley",ACC,7/9/1997,,,North America,,LAC,,,https://www.worldaquatics.com/athletes/1002841/katie-mc-laughlin,,,,,,,,,
Katie Meili,Female,USA,34,Breast,Stroke,Columbia University,IV League,4/16/1991,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1002815/katie-meili,,,,,,,,,
Katinka Hosszu,Female,HUN,36,"IM, Back",Mid-D,University of Southern California,B1G,5/3/1989,,,Europe,,IRO,,,https://www.worldaquatics.com/athletes/1000855/katinka-hosszu,,,,,,,,,
Kayla Han,Female,USA,16,"IM, Free",Distance,N/A,N/A,5/31/2008,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1551154/kayla-han,,,,,,,,,
Kayla Sanchez,Female,PHI,24,Free,Stroke,N/A,N/A,4/7/2001,,,Asia,,TOR,ENS,,https://www.worldaquatics.com/athletes/1056536/kayla-sanchez,,,,,,,,,
Kaylee Mckeown,Female,AUS,23,"IM, Back",Stroke,N/A,N/A,7/12/2001,,,Austrailia,,N/A,,,https://www.worldaquatics.com/athletes/1051356/kaylee-mckeown,,,,,,,,,
Kaylene Corbett,Female,RSA,25,Breast,Stroke,N/A,N/A,6/15/1999,,,Africa,,N/A,,,https://www.worldaquatics.com/athletes/1025085/kaylene-corbett,,,,,,,,,
Kelly Pash,Female,USA,24,"Fly, Free",Stroke,University of Texas,SEC,3/27/2001,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1057069/kelly-pash,,,,,,,,,
Kelsey Wog,Female,CAN,26,"IM, Breast",Stroke,N/A,N/A,9/18/1998,,,North America,,TOR,CAC,,https://www.worldaquatics.com/athletes/1040435/kelsey-lauren-wog,,,,,,,,,
Kelsi Dahlia,Female,USA,30,"Fly, Free",Sprint,University of Louisville,ACC,7/15/1994,,,North America,,N/A,CAC,,https://www.worldaquatics.com/athletes/1035668/kelsi-dahlia,,,,,,,,,
Kennedy Noble,Female,USA,21,Back,Stroke,North Carolina State University,ACC,3/16/2004,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1190399/kennedy-noble,,,,,,,,,
Kensey McMahon,Female,USA,25,Free,Distance,University of Alabama,SEC,10/29/1999,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1042963/kensey-mcmahon,,,,,,,,,
Kevin Cordes,Male,USA,31,Breast,Stroke,University of Arizona,BIG 12,8/13/1993,,,North America,,CAC,DCT,,https://www.worldaquatics.com/athletes/1002006/kevin-cordes,,,,,,,,,
Kiah Melverton,Female,AUS,28,Free,Distance,N/A,N/A,11/5/1996,,,Austrailia,,N/A,,,https://www.worldaquatics.com/athletes/1048540/kiah-melverton,,,,,,,,,
Kieran Smith,Male,USA,25,"IM, Free",Mid-D,University of Florida,SEC,5/20/2000,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1057052/kieran-smith,,,,,,,,,
Kira Toussaint,Female,NED,31,Back,Stroke,University of Tennessee,SEC,5/22/1994,,,Europe,,LON,IRO,,https://www.worldaquatics.com/athletes/1008104/kira-toussaint,,,,,,,,,
Kirill Prigoda,Male,RUS,29,Breast,Stroke,N/A,N/A,12/29/1995,,,Asia,Europe,LON,,,https://www.worldaquatics.com/athletes/1000100/kirill-prigoda,,,,,,,,,
Kliment Kolesnikov,Male,RUS,24,"Back, Free",Sprint,N/A,N/A,7/9/2000,,,Asia,Europe,ENS,,,https://www.worldaquatics.com/athletes/1045759/kliment-kolesnikov,,,,,,,,,
Kosuke Hagino,Male,JPN,30,"IM, Free",Mid-D,N/A,N/A,8/15/1994,,,Asia,,N/A,TOK,,https://www.worldaquatics.com/athletes/1000731/kosuke-hagino,,,,,,,,,
Kristen Romano,Female,PUR,25,"IM, Back",Mid-D,Ohio State University,B1G,9/24/1999,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1136729/kristen-elena-romano,,,,,,,,,
Kristian Gkolomeev,Male,GRE,31,Free,Sprint,University of Alabama,SEC,6/4/1993,,,Europe,,LAC,AQC,,https://www.worldaquatics.com/athletes/1019694/kristian-gkolomeev,,,,,,,,,
Kristof Milak,Male,HUN,25,Fly,Stroke,N/A,N/A,2/20/2000,,,Europe,,IRO,,,https://www.worldaquatics.com/athletes/1035878/kristof-milak,,,,,,,,,
Kyle Chalmers,Male,AUS,26,Free,Sprint,N/A,N/A,6/25/1998,,,Austrailia,,LON,,,https://www.worldaquatics.com/athletes/1019701/kyle-chalmers,,,,,,,,,
Kylie Masse,Female,CAN,29,Back,Stroke,N/A,N/A,1/18/1996,,,North America,,TOR,CAC,,https://www.worldaquatics.com/athletes/1043468/kylie-masse,,,,,,,,,
Lana Pudar,Female,BIH,19,Fly,Stroke,N/A,N/A,1/19/2006,,,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1198499/lana-pudar,,,,,,,,,
Lani Pallister,Female,AUS,22,Free,Distance,N/A,N/A,6/6/2002,,,Austrailia,,LAC,,,https://www.worldaquatics.com/athletes/1057125/lani-pallister,,,,,,,,,
Lara Van Niekerk,Female,RSA,22,Breast,Stroke,N/A,N/A,5/13/2003,,,Africa,,N/A,,,https://www.worldaquatics.com/athletes/1136196/lara-van-niekerk,,,,,,,,,
Laszlo Cseh,Male,HUN,39,"IM, Fly",Stroke,N/A,N/A,12/3/1985,,,Europe,,N/A,AQC,,https://www.worldaquatics.com/athletes/1007320/laszlo-cseh,,,,,,,,,
Leah Hayes,Female,USA,19,"IM, Free",Stroke,University of Virginia,ACC,10/21/2005,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1332149/leah-hayes,,,,,,,,,
Leah Neale,Female,AUS,29,Free,Mid-D,N/A,N/A,8/1/1995,,,Austrailia,,DCT,,,https://www.worldaquatics.com/athletes/1000917/leah-neale,,,,,,,,,
Leah Shackley,Female,USA,19,"Fly, Back",Stroke,North Carolina State University,ACC,1/1/2006,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1551228/leah-shackley,,,,,,,,,
Leah Smith,Female,USA,30,"IM, Free",Distance,University of Virginia,ACC,4/19/1995,,,North America,,TOK,LAC,,https://www.worldaquatics.com/athletes/1002713/leah-smith,,,,,,,,,
Leon Marchand,Male,FRA,23,"IM, Breast",Stroke,Arizona State University,BIG 12,5/17/2002,,,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1188005/leon-marchand,,,,,,,,,
Leonie Martens,,,21,Free,Distance,N/A,N/A,3/8/2004,,,,,N/A,,,https://www.worldaquatics.com/athletes/1224722/leonie-martens,,,,,,,,,
Lewis Burras,Male,GBR,25,"Fly, Free",Sprint,University of South Carolina,SEC,2/12/2000,,,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1025306/lewis-edward-burras,,,,,,,,,
Lewis Clareburt,Male,NZL,25,IM,Mid-D,N/A,N/A,7/4/1999,,,Austrailia,,N/A,NYB,,https://www.worldaquatics.com/athletes/1136434/lewis-clareburt,,,,,,,,,
Li Bingjie,Female,CHN,23,Free,Distance,N/A,N/A,3/3/2002,,,Asia,,N/A,,,https://www.worldaquatics.com/athletes/1020316/bingjie-li,,,,,,,,,
Lia Neal,Female,USA,30,Free,Sprint,Stanford University,ACC,2/13/1995,,,North America,,N/A,"CAC, NYB",,https://www.worldaquatics.com/athletes/1002666/lia-neal,,,,,,,,,
Lilly King,Female,USA,28,Breast,Stroke,Indiana University,B1G,2/10/1997,,,North America,,CAC,,,https://www.worldaquatics.com/athletes/1003868/lilly-king,,,,,,,,,
Lindsay Looney,Female,,23,Fly,Stroke,Arizona State University,BIG 12,8/2/2001,,,,,N/A,,,https://www.worldaquatics.com/athletes/1060944/lindsay-looney,,,,,,,,,
Linnea Mack,Female,USA,28,"Back, Free",Sprint,UCLA,B1G,1/1/1997,,,North America,,DCT,,,https://www.worldaquatics.com/athletes/1105775/linnea-mack,,,,,,,,,
Lisa Bratton,Female,USA,29,Back,Stroke,Texas A&M University,SEC,5/5/1996,,,North America,,TOR,DCT,,https://www.worldaquatics.com/athletes/1105093/lisa-bratton,,,,,,,,,
Lorenzo Mora,Male,ITA,26,Back,Stroke,N/A,N/A,9/30/1998,,,Europe,,IRO,,,https://www.worldaquatics.com/athletes/1097776/lorenzo-mora,,,,,,,,,
Louise Hansson,Female,SWE,28,"Fly, Back",Stroke,University of Southern California,B1G,11/24/1996,,,Europe,,TOR,,,https://www.worldaquatics.com/athletes/1000668/louise-hansson,,,,,,,,,
Luca Urlando,Male,USA,23,"IM, Fly",Stroke,University of Georgia,SEC,3/16/2002,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1137509/luca-urlando,,,,,,,,,
Lucas Henveaux,,,24,Free,Distance,"University of California, Berkeley",ACC,9/25/2000,,,,,N/A,,,https://www.worldaquatics.com/athletes/1455208/lucas-pierre-a-henveaux,,,,,,,,,
Luka Mijatovic,Male,USA,16,Free,Distance,N/A,N/A,4/22/2009,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1669371/luka-mijatovic,,,,,,,,,
Lukas Martens,Male,GER,23,Free,Distance,N/A,N/A,12/27/2001,,,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1188009/lukas-maertens,,,,,,,,,
Luke Greenbank,Male,GBR,27,Back,Stroke,N/A,N/A,9/17/1997,,,Europe,,LON,,,https://www.worldaquatics.com/athletes/1020436/luke-greenbank,,,,,,,,,
Luke Hobson,Male,USA,23,Free,Mid-D,University of Texas,SEC,1/1/2002,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1331970/luke-hobson,,,,,,,,,
Luke Whitlock,,,19,Free,Distance,Indiana University,B1G,3/8/2006,,,,,N/A,,,https://www.worldaquatics.com/athletes/1533163/luke-whitlock,,,,,,,,,
Lydia Jacoby,Female,USA,21,Breast,Stroke,University of Texas,SEC,2/29/2004,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1190208/lydia-jacoby,,,,,,,,,
Maaike de Waard,Female,NED,28,"Fly, Back",Sprint,N/A,N/A,10/11/1996,,,Europe,,CAC,,,https://www.worldaquatics.com/athletes/1007372/maaike-de-waard,,,,,,,,,
Mabel Zavaros,Female,CAN,24,"IM, Back",Mid-D,University of Florida,SEC,1/1/2001,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1056971/mabel-zavaros,,,,,,,,,
Mack Horton,Male,AUS,29,Free,Distance,N/A,N/A,4/25/1996,,,Austrailia,,N/A,,,https://www.worldaquatics.com/athletes/1007971/mack-horton,,,,,,,,,
Madison Kennedy,Female,USA,37,Free,Sprint,"University of California, Berkeley",ACC,12/22/1987,,,North America,,DCT,,,https://www.worldaquatics.com/athletes/1000283/madison-kennedy,,,,,,,,,
